timestamp,lap time,stroke count,stroke type,data source
2026-04-10T15:51:12Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T17:50:14Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T19:21:08Z,00:00:17.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T19:21:35Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T21:17:36Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T21:19:56Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T21:21:09Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:10:25Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:12:09Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:12:48Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:14:33Z,00:00:21.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:15:51Z,00:00:26.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:17:16Z,00:00:35.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:18:32Z,00:00:41.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:19:28Z,00:00:41.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:20:12Z,00:00:41.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:22:09Z,00:00:33.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:25:43Z,00:00:46.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:44:10Z,00:00:52.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:45:17Z,00:00:34.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:46:10Z,00:00:47.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:49:37Z,00:00:54.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T00:56:58Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T02:57:17Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T02:59:26Z,00:00:22.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T03:00:00Z,00:00:39.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T03:02:57Z,00:00:49.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T03:04:52Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T03:11:04Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T03:25:23Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T14:49:58Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T15:36:53Z,00:00:30.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T15:45:03Z,00:00:23.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T15:45:33Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T15:53:26Z,00:00:20.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T15:54:01Z,00:00:32.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T15:55:08Z,00:00:30.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T15:58:56Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T15:59:47Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T16:01:33Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T16:04:41Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T16:07:44Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T16:11:43Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T16:20:07Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:02:52Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:03:14Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:04:13Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:04:49Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:05:20Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:08:35Z,00:00:48.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:44:43Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:45:06Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:47:07Z,00:00:42.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:48:50Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T17:49:45Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T18:59:37Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T21:40:28Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T21:42:18Z,00:00:31.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T21:43:05Z,00:00:40.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-11T22:57:48Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T00:41:44Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T00:44:55Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T00:45:24Z,00:00:42.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T00:46:34Z,00:00:38.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T00:47:29Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T00:48:08Z,00:00:17.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T00:49:29Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T01:33:43Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T04:16:19Z,00:00:24.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T07:21:35Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T12:41:45Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T13:02:49Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T14:53:22Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T14:55:17Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T15:01:02Z,00:00:25.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-12T15:07:12Z,00:00:32.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
