timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-12T11:55:00Z,31.2,0.0,Fitbit App
2026-04-12T12:00:00Z,23.3,0.0,Fitbit App
2026-04-12T12:05:00Z,30.2,0.0,Fitbit App
2026-04-12T12:10:00Z,28.3,0.0,Fitbit App
2026-04-12T12:15:00Z,36.0,0.0,Fitbit App
2026-04-12T12:20:00Z,30.6,0.0,Fitbit App
2026-04-12T12:25:00Z,35.4,0.0,Fitbit App
2026-04-12T12:30:00Z,35.1,0.0,Fitbit App
2026-04-13T07:50:00Z,24.1,0.0,Fitbit App
2026-04-13T07:55:00Z,35.7,0.0,Fitbit App
2026-04-13T08:00:00Z,45.2,0.0,Fitbit App
2026-04-13T08:05:00Z,35.0,0.0,Fitbit App
2026-04-13T08:10:00Z,31.8,0.0,Fitbit App
2026-04-13T08:15:00Z,30.1,0.0,Fitbit App
2026-04-13T08:20:00Z,27.6,0.0,Fitbit App
2026-04-13T08:25:00Z,25.3,0.0,Fitbit App
2026-04-13T08:30:00Z,24.0,0.0,Fitbit App
2026-04-13T08:35:00Z,22.8,0.0,Fitbit App
2026-04-13T08:40:00Z,22.6,0.0,Fitbit App
2026-04-13T08:45:00Z,23.9,0.0,Fitbit App
2026-04-13T08:50:00Z,18.0,0.0,Fitbit App
2026-04-13T08:55:00Z,15.3,0.0,Fitbit App
2026-04-13T09:00:00Z,16.6,0.0,Fitbit App
2026-04-13T09:05:00Z,17.5,0.0,Fitbit App
2026-04-13T09:10:00Z,19.6,0.0,Fitbit App
2026-04-13T09:15:00Z,19.9,0.0,Fitbit App
2026-04-13T09:20:00Z,18.5,0.0,Fitbit App
2026-04-13T09:25:00Z,21.6,0.0,Fitbit App
2026-04-13T09:30:00Z,20.1,0.0,Fitbit App
2026-04-13T09:35:00Z,21.9,0.0,Fitbit App
2026-04-13T09:40:00Z,23.7,0.0,Fitbit App
2026-04-13T09:45:00Z,22.9,0.0,Fitbit App
2026-04-13T09:50:00Z,18.9,0.0,Fitbit App
2026-04-13T09:55:00Z,25.9,0.0,Fitbit App
2026-04-13T10:00:00Z,17.6,0.0,Fitbit App
2026-04-13T10:05:00Z,19.1,0.0,Fitbit App
2026-04-13T10:10:00Z,18.7,0.0,Fitbit App
2026-04-13T10:15:00Z,18.5,0.0,Fitbit App
2026-04-13T10:20:00Z,20.5,0.0,Fitbit App
2026-04-13T10:25:00Z,20.4,0.0,Fitbit App
2026-04-13T10:30:00Z,18.7,0.0,Fitbit App
2026-04-13T10:35:00Z,21.5,0.0,Fitbit App
2026-04-13T10:40:00Z,33.0,0.0,Fitbit App
2026-04-13T10:45:00Z,14.3,0.0,Fitbit App
2026-04-13T10:50:00Z,21.3,0.0,Fitbit App
2026-04-13T10:55:00Z,24.1,0.0,Fitbit App
2026-04-13T11:00:00Z,22.1,0.0,Fitbit App
2026-04-13T11:05:00Z,21.3,0.0,Fitbit App
2026-04-13T11:10:00Z,31.6,0.0,Fitbit App
2026-04-13T11:15:00Z,20.2,0.0,Fitbit App
2026-04-13T11:20:00Z,26.2,0.0,Fitbit App
2026-04-13T11:25:00Z,18.9,0.0,Fitbit App
2026-04-13T11:30:00Z,24.3,0.0,Fitbit App
2026-04-13T11:35:00Z,19.5,0.0,Fitbit App
2026-04-13T11:40:00Z,31.3,0.0,Fitbit App
2026-04-13T11:45:00Z,38.7,0.0,Fitbit App
2026-04-13T11:50:00Z,30.8,0.0,Fitbit App
2026-04-13T11:55:00Z,24.3,0.0,Fitbit App
2026-04-13T12:00:00Z,21.5,0.0,Fitbit App
2026-04-13T12:05:00Z,36.3,0.0,Fitbit App
2026-04-13T12:10:00Z,37.0,0.0,Fitbit App
2026-04-13T12:15:00Z,32.8,0.0,Fitbit App
2026-04-13T12:20:00Z,23.3,0.0,Fitbit App
2026-04-13T12:25:00Z,30.2,0.0,Fitbit App
2026-04-13T12:30:00Z,39.4,0.0,Fitbit App
2026-04-13T12:35:00Z,26.6,0.0,Fitbit App
2026-04-13T12:40:00Z,28.9,0.0,Fitbit App
2026-04-13T12:45:00Z,30.1,0.0,Fitbit App
2026-04-13T12:50:00Z,28.6,0.0,Fitbit App
2026-04-13T12:55:00Z,29.1,0.0,Fitbit App
2026-04-13T13:00:00Z,22.2,0.0,Fitbit App
2026-04-14T08:35:00Z,27.5,0.0,Fitbit App
2026-04-14T08:40:00Z,35.0,0.0,Fitbit App
2026-04-14T08:45:00Z,45.4,0.0,Fitbit App
2026-04-14T08:50:00Z,39.3,0.0,Fitbit App
2026-04-14T08:55:00Z,35.2,0.0,Fitbit App
2026-04-14T09:00:00Z,34.1,0.0,Fitbit App
2026-04-14T09:05:00Z,30.1,0.0,Fitbit App
2026-04-14T09:10:00Z,28.1,0.0,Fitbit App
2026-04-14T09:15:00Z,28.8,0.0,Fitbit App
2026-04-14T09:20:00Z,30.7,0.0,Fitbit App
2026-04-14T09:25:00Z,28.2,0.0,Fitbit App
2026-04-14T09:30:00Z,15.6,0.0,Fitbit App
2026-04-14T09:35:00Z,12.4,0.0,Fitbit App
2026-04-14T09:40:00Z,16.0,0.0,Fitbit App
2026-04-14T09:45:00Z,18.5,0.0,Fitbit App
2026-04-14T09:50:00Z,24.6,0.0,Fitbit App
2026-04-14T09:55:00Z,22.9,0.0,Fitbit App
2026-04-14T10:00:00Z,18.8,0.0,Fitbit App
2026-04-14T10:05:00Z,22.4,0.0,Fitbit App
2026-04-14T10:10:00Z,22.4,0.0,Fitbit App
2026-04-14T10:15:00Z,24.2,0.0,Fitbit App
2026-04-14T10:20:00Z,23.4,0.0,Fitbit App
2026-04-14T10:25:00Z,23.8,0.0,Fitbit App
2026-04-14T10:30:00Z,25.0,0.0,Fitbit App
2026-04-14T10:35:00Z,24.8,0.0,Fitbit App
2026-04-14T10:40:00Z,24.4,0.0,Fitbit App
2026-04-14T10:45:00Z,23.2,0.0,Fitbit App
2026-04-14T10:50:00Z,25.2,0.0,Fitbit App
2026-04-14T10:55:00Z,20.3,0.0,Fitbit App
2026-04-14T11:00:00Z,31.7,0.0,Fitbit App
2026-04-14T11:05:00Z,20.8,0.0,Fitbit App
2026-04-14T11:10:00Z,16.2,0.0,Fitbit App
2026-04-14T11:15:00Z,19.8,0.0,Fitbit App
2026-04-14T11:20:00Z,20.4,0.0,Fitbit App
2026-04-14T11:25:00Z,18.2,0.0,Fitbit App
2026-04-14T11:30:00Z,24.9,0.0,Fitbit App
